# Every entry in the four CV copies ADR-003 merged, as extracted by
# scripts/python/check_cv_sources.py.  Regenerate with `make cv-inventory`;
# `make cv-check` fails when this file and the copies disagree.
#
# Committed so that what the checker reads is reviewable in a diff, and so
# that an extractor which breaks and finds nothing fails a check instead of
# reporting a clean run over an empty list.  Do not edit by hand.
#
# id	section	text
cvrepo:employment-history:postdoctoral-associate-mathematics-dept-iowa	Employment History	**Postdoctoral Associate** [Mathematics Dept, Iowa State University](https://math.iastate.edu/), Ames 2014--2016
cvrepo:employment-history:visiting-assistant-professor-mathematics-dep~2	Employment History	**Visiting Assistant Professor** [Mathematics Dept, Univ South Carolina](https://sc.edu/study/colleges_schools/artsandsciences/mathematics/index.php), Columbia 2012--2014
cvrepo:employment-history:research-scientist-imaging-research-dept-tex	Employment History	**Research Scientist** [Imaging Research Dept, Textron Systems Corp](https://www.textronsystems.com/), Maui 2001--2006\
cvrepo:employment-history:developed-new-algorithms-and-parallel-progra	Employment History	*Developed new algorithms and parallel programs for processing images from the [Haleakala Observatories](https://about.ifa.hawaii.edu/facility/haleakala-observatories/).*
cvrepo:publications:formal-specification-of-the-cardano-blockcha	Publications	[Formal Specification of the Cardano Blockchain Ledger, Mechanized in Agda](https://drops.dagstuhl.de/entities/document/10.4230/OASIcs.FMBC.2024.2), with Knispel, et al.\
cvrepo:publications:5th-international-workshop-on-formal-methods	Publications	*5th International Workshop on Formal Methods for Blockchains* (FMBC) 2024 [(pdf link)](https://drops.dagstuhl.de/storage/01oasics/oasics-vol118-fmbc2024/OASIcs.FMBC.2024.2/OASIcs.FMBC.2024.2.pdf)
cvrepo:publications:a-machine-checked-proof-of-birkhoff-s-variet	Publications	[A machine-checked proof of Birkhoff's variety theorem in Martin-Löf type theory](https://arxiv.org/abs/2101.10166), with J. Carette\
cvrepo:publications:proc-27th-intl-conf-types-for-proofs-and-pro	Publications	*Proc. 27th Intl. Conf. Types for Proofs and Programs* (TYPES) 2022 [(preprint link)](https://arxiv.org/abs/2101.10166)
cvrepo:publications:universal-algebraic-methods-for-constraint-s	Publications	[Universal algebraic methods for constraint satisfaction problems](https://lmcs.episciences.org/8975), with Clifford Bergman\
cvrepo:publications:logical-methods-in-computer-science-lmcs-202	Publications	*Logical Methods in Computer Science* (LMCS) 2022 [(pdf link)](https://lmcs.episciences.org/8975/pdf)
cvrepo:publications:constraint-satisfaction-problems-over-finite	Publications	[Constraint satisfaction problems over finite structures](https://ieeexplore.ieee.org/document/9470670), with L. Barto and A. Mottet\
cvrepo:publications:36th-acm-ieee-symposium-on-logic-in-computer	Publications	*36th ACM/IEEE Symposium on Logic in Computer Science* (LICS) 2021 [(preprint link)](https://arxiv.org/abs/2010.04958)
cvrepo:publications:bounded-homomorphisms-and-fiber-products-of	Publications	[Bounded homomorphisms and fiber products of lattices](https://www.worldscientific.com/doi/10.1142/S0218196720500174), with P. Mayr and N. Ruškuc\
cvrepo:publications:international-journal-of-algebra-and-computa	Publications	*International Journal of Algebra and Computation* (IJAC) 2020 [(preprint link)](https://arxiv.org/abs/1907.08046)
cvrepo:publications:polynomial-time-tests-for-difference-terms-i	Publications	[Polynomial-time tests for difference terms in idempotent varieties](https://www.worldscientific.com/doi/10.1142/S021819671950036X), with R. Freese and M. Valeriote\
cvrepo:publications:international-journal-of-algebra-and-computa~2	Publications	*International Journal of Algebra and Computation* (IJAC) 2019 [(preprint link)](https://arxiv.org/abs/2011.07879)
cvrepo:publications:isotopic-algebras-with-nonisomorphic-congrue	Publications	[Isotopic algebras with nonisomorphic congruence lattices](https://link.springer.com/article/10.1007/s00012-014-0301-4),\
cvrepo:publications:algebra-universalis-2014-preprint-link	Publications	*Algebra Universalis* 2014 [(preprint link)](https://arxiv.org/abs/1301.7481)
cvrepo:publications:expansions-of-finite-algebras-their-congruen	Publications	[Expansions of finite algebras & their congruence lattices](https://link.springer.com/article/10.1007/s00012-013-0226-3),\
cvrepo:publications:algebra-universalis-2013-preprint-link	Publications	*Algebra Universalis* 2013 [(preprint link)](https://arxiv.org/abs/1205.1106)
cvrepo:publications:proceedings-of-algebras-and-lattices-in-hawa	Publications	[Proceedings of Algebras and Lattices in Hawaii 2018](http://www.lulu.com/shop/kira-adaricheva-and-william-demeo-and-jennifer-hyndman/algebras-and-lattices-in-hawaii-honoring-ralph-freese-bill-lampe-and-jb-nation/paperback/product-23634583.html), editor, with K. Adaricheva and J. Hyndman
cvrepo:publications:topics-in-nonabelian-harmonic-analysis-and-d	Publications	[Topics in nonabelian harmonic analysis and DSP applications](https://github.com/williamdemeo/ISMA2004/raw/master/DeMeo-ISMA2004-FinalPaper.pdf) (best paper award)\
cvrepo:publications:international-symposium-on-musical-acoustics	Publications	*International Symposium on Musical Acoustics* (ISMA) 2004 [(preprint link)](https://github.com/williamdemeo/ISMA2004/raw/master/DeMeo-ISMA2004-FinalPaper.pdf)
cvrepo:publications:characterizing-musical-signals-with-wigner-v	Publications	[Characterizing musical signals with Wigner-Ville interferences](https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.385.3582&rep=rep1&type=pdf)\
cvrepo:publications:international-computer-music-conference-icmc	Publications	*International Computer Music Conference* (ICMC) 2002 [(preprint link)](https://github.com/williamdemeo/ICMC2002/raw/master/DeMeo-ICMC2002.pdf)
cvrepo:publications:approximating-eigenvalues-of-large-stochasti	Publications	[Approximating eigenvalues of large stochastic matrices](https://williamdemeo.github.io/MSThesis)\
cvrepo:publications:8th-copper-mt-conference-on-iterative-method	Publications	*8th Copper Mt. Conference on Iterative Methods* 1998 [(preprint link)](https://williamdemeo.github.io/MSThesis)
cvrepo:grants-awards:nsf-research-grant-no-1500218-2015-2018	Grants & Awards	**NSF Research Grant** (no. 1500218) 2015--2018\
cvrepo:grants-awards:project-title-algebras-and-algorithms-struct	Grants & Awards	*Project Title:* *Algebras and algorithms, structure and complexity theory*\
cvrepo:grants-awards:role-postdoctoral-research-fellow-on-a-team	Grants & Awards	*Role:* Postdoctoral research fellow on a team with 6 senior scientists and 3 postdocs\
cvrepo:grants-awards:description-3-yr-collaborative-research-on-a	Grants & Awards	*Description:* 3-yr collaborative research on algebraic approaches to constraint satisfaction problems
cvrepo:grants-awards:magellan-scholar-grant-2013-2014	Grants & Awards	**Magellan Scholar Grant** 2013--2014\
cvrepo:grants-awards:project-title-what-does-a-nonabelian-group-s	Grants & Awards	*Project Title:* *What does a nonabelian group sound like?*\
cvrepo:grants-awards:role-faculty-mentor-for-undergraduate-resear	Grants & Awards	*Role:* Faculty mentor for undergraduate research\
cvrepo:grants-awards:description-see-soundmath-github-io-groupsou	Grants & Awards	*Description:* See [soundmath.github.io/GroupSound/GroupSound](http://soundmath.github.io/GroupSound/)
cvrepo:grants-awards:arcs-sarah-ann-martin-award-for-outstanding	Grants & Awards	**ARCS Sarah Ann Martin Award** for Outstanding Research in MathematicsHonolulu 2011
cvrepo:grants-awards:best-paper-award-international-symposium-on	Grants & Awards	**Best Paper Award**, International Symposium on Musical Acoustics Nara, Japan 2004
cvrepo:tech-training-certificat:smart-contracts-suny-buffalo-sep-2021	Tech Training Certifications	[Smart Contracts](https://www.coursera.org/learn/scala-spark-big-data/home/welcome), SUNY Buffalo, Sep 2021\
cvrepo:tech-training-certificat:4-week-coursera-course-grade-96-4-link-to-ve	Tech Training Certifications	4-week Coursera course; grade: 96.4% [link to verified certificate](https://www.coursera.org/account/accomplishments/verify/UTGLFVHW79WV)
cvrepo:tech-training-certificat:blockchain-basics-suny-buffalo-aug-2021	Tech Training Certifications	[Blockchain Basics](https://www.coursera.org/learn/scala-spark-big-data/home/welcome), SUNY Buffalo, Aug 2021\
cvrepo:tech-training-certificat:4-week-coursera-course-grade-100-link-to-ver	Tech Training Certifications	4-week Coursera course; grade: 100% [link to verified certificate](https://www.coursera.org/account/accomplishments/verify/4NP2MX787UAG)
cvrepo:tech-training-certificat:big-data-analysis-with-scala-and-spark-epfl	Tech Training Certifications	[Big Data Analysis with Scala and Spark](https://www.coursera.org/learn/scala-spark-big-data/home/welcome), [EPFL](https://www.epfl.ch/schools/ic/), Nov 2017\
cvrepo:tech-training-certificat:4-week-coursera-course-grade-93-4-link-to-ve	Tech Training Certifications	4-week Coursera course; grade: 93.4% [link to verified certificate](https://www.coursera.org/account/accomplishments/records/93DVEX3QH86L)
cvrepo:tech-training-certificat:parallel-programming-in-scala-epfl-jun-2016	Tech Training Certifications	[Parallel Programming in Scala](https://www.coursera.org/learn/parprog1), [EPFL](https://www.epfl.ch/schools/ic/), Jun 2016\
cvrepo:tech-training-certificat:4-week-coursera-course-grade-100-link-to-ver~2	Tech Training Certifications	4-week Coursera course; grade: 100% [link to verified certificate](https://www.coursera.org/account/accomplishments/records/3XV34H6BTTHC)
cvrepo:tech-training-certificat:functional-program-design-in-scala-epfl-aug	Tech Training Certifications	[Functional Program Design in Scala](https://www.coursera.org/learn/progfun2/home), [EPFL](https://www.epfl.ch/schools/ic/), Aug 2016\
cvrepo:tech-training-certificat:4-week-coursera-course-grade-100-link-to-ver~3	Tech Training Certifications	4-week Coursera course; grade: 100% [link to verified certificate](https://www.coursera.org/account/accomplishments/records/2WE2UZSR5AAZ)
cvrepo:tech-training-certificat:functional-programming-principles-in-scala-e	Tech Training Certifications	[Functional Programming Principles in Scala](https://www.coursera.org/learn/progfun1/home), [EPFL](https://www.epfl.ch/schools/ic/), Nov 2016\
cvrepo:tech-training-certificat:6-week-coursera-course-grade-100-link-to-ver	Tech Training Certifications	6-week Coursera course; grade: 100% [link to verified certificate](https://www.coursera.org/account/accomplishments/records/CKWD8PLCPW4E)
cvrepo:tech-training-certificat:startup-engineering-stanford-university-sep	Tech Training Certifications	[Startup Engineering](https://www.coursera.org/course/startup) Stanford University, Sep 2013\
cvrepo:tech-training-certificat:12-week-coursera-course-grade-99-3-link-to-v	Tech Training Certifications	12-week Coursera course; grade: 99.3% [link to verified certificate](https://www.coursera.org/maestro/api/certificate/get_certificate?course_id=970374)
cvrepo:workshops-summer-schools:agda-implementors-meeting-xxxix-university-2	Workshops & Summer Schools Attended	[Agda Implementors' Meeting XXXIX](https://wiki.portal.chalmers.se/agda/Main/AIMXXXIX)Chalmers University, 25--30 Nov 2024
cvrepo:workshops-summer-schools:agda-implementors-meeting-xxxviii-of-swansea	Workshops & Summer Schools Attended	[Agda Implementors' Meeting XXXVIII](https://wiki.portal.chalmers.se/agda/Main/AIMXXXVIII)University of Swansea, 13--18 May 2024
cvrepo:workshops-summer-schools:computer-aided-mathematical-proof-cambridge	Workshops & Summer Schools Attended	[Computer-aided Mathematical Proof](https://www.newton.ac.uk/event/bprw01) Cambridge University, 10--14 Jul 2017\
cvrepo:workshops-summer-schools:topic-bringing-proof-technology-into-mainstr	Workshops & Summer Schools Attended	*Topic*. bringing proof technology into mainstream mathematics
cvrepo:workshops-summer-schools:lms-epsrc-short-course-in-computational-grou	Workshops & Summer Schools Attended	[LMS/EPSRC Short Course in Computational Group Theory](http://www-circa.mcs.st-and.ac.uk/cgt2013/) University of St Andrews, 29 Jul--2 Aug 2013\
cvrepo:workshops-summer-schools:topics-permutation-finitely-presented-groups	Workshops & Summer Schools Attended	*Topics*. permutation & finitely presented groups, constructive recognition
cvrepo:workshops-summer-schools:midlands-graduate-school-in-the-foundations	Workshops & Summer Schools Attended	[Midlands Graduate School in the Foundations of Computing Science](http://www.cs.nott.ac.uk/MGS/)\
cvrepo:workshops-summer-schools:univ-of-nottingham-2014	Workshops & Summer Schools Attended	[Univ of Nottingham 2014](http://www.cs.nott.ac.uk/~psztxa/mgs.2014/)\
cvrepo:workshops-summer-schools:univ-of-birmingham-2016-2019	Workshops & Summer Schools Attended	[Univ of Birmingham 2016](http://www.cs.bham.ac.uk/~pbl/mgs2016/), [2019](http://events.cs.bham.ac.uk/mgs2019/)\
cvrepo:workshops-summer-schools:topics-lambda-calculus-denotational-semantic	Workshops & Summer Schools Attended	*Topics*. lambda calculus, denotational semantics, type theory, category theory, proof theory, univalent foundations
cvrepo:workshops-summer-schools:oregon-programming-languages-summer-school	Workshops & Summer Schools Attended	[Oregon Programming Languages Summer School](https://www.cs.uoregon.edu/research/summerschool/)\
cvrepo:workshops-summer-schools:university-of-oregon-3-21-jul-2018-26-jun-8	Workshops & Summer Schools Attended	University of Oregon, [3--21 Jul 2018](https://www.cs.uoregon.edu/research/summerschool/summer18/topics.php), [26 Jun--8 Jul 2017](https://www.cs.uoregon.edu/research/summerschool/summer17), [16--28 Jun 2014](https://www.cs.uoregon.edu/research/summerschool/summer14/curriculum.html)\
cvrepo:workshops-summer-schools:topics-type-theory-logic-semantics-verificat	Workshops & Summer Schools Attended	*Topics*. type theory, logic, semantics, verification, parallelism, concurrency, gradual type systems
cvrepo:synergistic-activities:organizer-blast-2019-conference-boulder-2019	Synergistic Activities	Organizer, [*BLAST 2019 Conference*](https://math.colorado.edu/blast/2019/index.html) Boulder 2019\
cvrepo:synergistic-activities:organizer-algebras-and-lattices-in-hawaii-co	Synergistic Activities	Organizer, [*Algebras and Lattices in Hawaii Conf. to honor Freese, Lampe & Nation*](https://universalalgebra.github.io/ALH-2018/) Honolulu 2018\
cvrepo:synergistic-activities:organizer-workshop-on-computational-universa	Synergistic Activities	Organizer, [*Workshop on Computational Universal Algebra*](http://universalalgebra.wordpress.com/meetings/2013-workshop-on-computational-universal-algebra/) Louisville 2013\
cvrepo:synergistic-activities:editor-for-algebra-universalis-2018-present	Synergistic Activities	Editor for *Algebra Universalis* 2018--present\
cvrepo:synergistic-activities:referee-for-algebra-universalis-order-and-j	Synergistic Activities	Referee for *Algebra Universalis*, *Order*, and *J. Logic & Analysis* 2012--present
cvrepo:synergistic-activities:university-of-colorado-boulder	Synergistic Activities	**University of Colorado, Boulder**\
cvrepo:synergistic-activities:served-on-doctoral-candidacy-exam-committee	Synergistic Activities	Served on doctoral candidacy exam committee for the following ph.d. students:\
cvrepo:synergistic-activities:jordan-dubeau-ali-latfi-athena-sparks-michae	Synergistic Activities	Jordan DuBeau, Ali Latfi, Athena Sparks, Michael Wheeler.\
cvrepo:synergistic-activities:served-on-dissertation-defense-committee-for	Synergistic Activities	Served on dissertation defense committee for Jeffrey Shriner.
cvrepo:synergistic-activities:iowa-state-university	Synergistic Activities	**Iowa State University**\
cvrepo:synergistic-activities:reu-mentor-for-charlotte-aten-mathematics-ma	Synergistic Activities	REU mentor for Charlotte Aten (mathematics major, University of Rochester)\
cvrepo:synergistic-activities:honors-thesis-advisor-for-joshua-thompson-ma	Synergistic Activities	Honors thesis advisor for Joshua Thompson (mathematics major, honors program)\
cvrepo:synergistic-activities:putnam-exam-mentor-at-weekly-exam-practice-m	Synergistic Activities	Putnam Exam mentor at weekly exam practice meetings
cvrepo:teaching-experience:new-jersey-institute-of-technology-as-senior	Teaching Experience	**New Jersey Institute of Technology** (as Senior University Lecturer)
cvrepo:teaching-experience:ds-644-introduction-to-big-data-graduate-cou	Teaching Experience	[DS 644: Introduction to Big Data](https://github.com/williamdemeo/ds644-spring2023) (graduate course) Spring 2023
cvrepo:teaching-experience:cs-644-introduction-to-big-data-graduate-cou	Teaching Experience	CS 644: Introduction to Big Data (graduate course) Fall 2022
cvrepo:teaching-experience:cs-370-introduction-to-artificial-intelligen	Teaching Experience	[CS 370: Introduction to Artificial Intelligence](https://github.com/williamdemeo/cs370-fall2022) Fall 2022
cvrepo:teaching-experience:cs-370-introduction-to-artificial-intelligen~2	Teaching Experience	[CS 370: Introduction to Artificial Intelligence](https://github.com/williamdemeo/cs370-spring2022) Spring 2022
cvrepo:teaching-experience:cs-241-foundations-of-computer-science-i-spr	Teaching Experience	[CS 241: Foundations of Computer Science I](https://github.com/williamdemeo/cs241-spring2022) Spring 2022
cvrepo:teaching-experience:charles-university-in-prague-as-postdoctoral	Teaching Experience	**Charles University in Prague** (as Postdoctoral Research Fellow)
cvrepo:teaching-experience:nmag-405-universal-algebra-winter-2020	Teaching Experience	[NMAG 405: Universal Algebra](https://gitlab.com/universalalgebra/charlesuniversity/nmag405) Winter 2020
cvrepo:teaching-experience:university-of-colorado-boulder-as-burnett-me	Teaching Experience	**University of Colorado, Boulder** (as Burnett Meyer Instructor)
cvrepo:teaching-experience:math-2001-discrete-mathematics-lean-prover-c	Teaching Experience	[Math 2001: Discrete Mathematics](https://github.com/williamdemeo/math2001-spring2019)(with Lean prover component) Spring 2019
cvrepo:teaching-experience:math-2001-discrete-mathematics-with-lean-pro	Teaching Experience	Math 2001: Discrete Mathematics (with Lean prover component) Fall 2018
cvrepo:teaching-experience:math-3140-abstract-algebra-fall-2018	Teaching Experience	[Math 3140: Abstract Algebra](https://github.com/williamdemeo/math3140-fall2018) Fall 2018
cvrepo:teaching-experience:math-6000-model-theory-course-spring-2018	Teaching Experience	[Math 6000: Model Theory](https://github.com/williamdemeo/math6000-spring2018)(graduate course) Spring 2018
cvrepo:teaching-experience:math-2130-linear-algebra-spring-2018	Teaching Experience	[Math 2130: Linear Algebra](https://github.com/williamdemeo/math2130-spring2018) Spring 2018
cvrepo:teaching-experience:math-2130-linear-algebra-fall-2017	Teaching Experience	Math 2130: Linear Algebra Fall 2017
cvrepo:teaching-experience:university-of-hawaii-as-visiting-assistant-p	Teaching Experience	**University of Hawaii** (as Visiting Assistant Professor)
cvrepo:teaching-experience:math-215-applied-calculus-spring-2017	Teaching Experience	Math 215: Applied Calculus Spring 2017
cvrepo:teaching-experience:math-480-senior-seminar-spring-2017	Teaching Experience	Math 480: Senior Seminar Spring 2017
cvrepo:teaching-experience:math-244-calculus-iv-fall-2016	Teaching Experience	[Math 244: Calculus IV](https://github.com/williamdemeo/math244-fall2016) Fall 2016
cvrepo:teaching-experience:math-321-introduction-to-advanced-math-fall	Teaching Experience	[Math 321: Introduction to Advanced Math](https://github.com/williamdemeo/math321-fall2016) Fall 2016
cvrepo:teaching-experience:iowa-state-university-as-postdoctoral-associ	Teaching Experience	**Iowa State University** (as Postdoctoral Associate)
cvrepo:teaching-experience:math-317-linear-algebra-spring-2016	Teaching Experience	[Math 317: Linear Algebra](https://github.com/williamdemeo/Math317-Spring2016) Spring 2016
cvrepo:teaching-experience:math-317-linear-algebra-fall-2015	Teaching Experience	Math 317: Linear Algebra Fall 2015
cvrepo:teaching-experience:math-160-survey-of-calculus-fall-2015	Teaching Experience	[Math 160: Survey of Calculus](https://github.com/williamdemeo/Math160-Fall2015) Fall 2015
cvrepo:teaching-experience:math-207-elementary-linear-algebra-spring-20	Teaching Experience	[Math 207: Elementary Linear Algebra](https://github.com/williamdemeo/Math207-Spring2015) Spring 2015
cvrepo:teaching-experience:math-165-calculus-i-spring-2015	Teaching Experience	[Math 165: Calculus I](https://github.com/williamdemeo/Math165-Spring2015) Spring 2015
cvrepo:teaching-experience:math-301-abstract-algebra-fall-2014	Teaching Experience	Math 301: Abstract Algebra Fall 2014
cvrepo:teaching-experience:math-165-calculus-i-fall-2014	Teaching Experience	Math 165: Calculus I Fall 2014
cvrepo:teaching-experience:university-of-south-carolina-as-visiting-ass	Teaching Experience	**University of South Carolina** (as Visiting Assistant Professor)
cvrepo:teaching-experience:math-700-linear-algebra-graduate-course-spri	Teaching Experience	[Math 700: Linear Algebra](https://github.com/williamdemeo/Math700Spring2014) (graduate course) Spring 2014
cvrepo:teaching-experience:math-141-calculus-i-spring-2014	Teaching Experience	[Math 141: Calculus I](https://github.com/williamdemeo/Math141Spring2014) Spring 2014
cvrepo:teaching-experience:math-374-discrete-structures-fall-2013	Teaching Experience	Math 374: Discrete Structures Fall 2013
cvrepo:teaching-experience:math-122-calculus-for-business-and-social-sc	Teaching Experience	Math 122: Calculus for Business and Social Sciences Fall 2013
cvrepo:teaching-experience:math-374-discrete-structures-spring-2013	Teaching Experience	Math 374: Discrete Structures Spring 2013
cvrepo:teaching-experience:math-122-calculus-for-business-and-social-sc~2	Teaching Experience	Math 122: Calculus for Business and Social Sciences Spring 2013
cvrepo:teaching-experience:math-241-vector-calculus-fall-2012	Teaching Experience	Math 241: Vector Calculus Fall 2012
cvrepo:teaching-experience:math-122-calculus-for-business-and-social-sc~3	Teaching Experience	Math 122: Calculus for Business and Social Sciences Fall 2012
cvrepo:teaching-experience:university-of-hawaii-as-graduate-student-ins	Teaching Experience	**University of Hawaii** (as Graduate Student Instructor)
cvrepo:teaching-experience:math-371-probability-theory-summer-2011	Teaching Experience	Math 371: Probability Theory Summer 2011
cvrepo:teaching-experience:math-100-mathematical-reasoning-summer-2010	Teaching Experience	Math 100: Mathematical Reasoning Summer 2010
cvrepo:teaching-experience:math-215-applied-calculus-i-summer-2009	Teaching Experience	Math 215: Applied Calculus I Summer 2009
cvrepo:talks:birkhoff-s-theorem-in-dependent-type-theory	Talks	[*Birkhoff's Theorem in Dependent Type Theory*](https://types21.liacs.nl/timetable/event/proof-assistants-applications/) [(preprint)](https://arxiv.org/abs/2101.10166) Online 2021\
cvrepo:talks:types-2021	Talks	[TYPES 2021](https://types21.liacs.nl/)
cvrepo:talks:complexity-of-the-homomorphism-problem-for-b	Talks	[*Complexity of the Homomorphism Problem for Boolean Models*](https://gitpitch.com/UniversalAlgebra/hom-csp?grs=gitlab#/1) [(preprint)](https://arxiv.org/abs/2010.04958) Online 2020\
cvrepo:talks:european-virtual-csp-seminar	Talks	[European virtual CSP seminar](https://csp-seminar.org/talks/william-demeo)
cvrepo:talks:computational-tools-for-universal-algebra-re	Talks	[*Computational Tools for Universal Algebra Research*](https://williamdemeo.gitlab.io/talks/vols/) Völs am Schlern, Italy 2020\
cvrepo:talks:csp-world-congress-2020	Talks	[CSP World Congress 2020](https://cspworldcongress.wordpress.com/)
cvrepo:talks:formalizing-universal-algebra-with-dependent	Talks	[*Formalizing Universal Algebra with Dependent and Inductive Types*](https://williamdemeo.gitlab.io/agda-ualib/index.html) [(html docs)](https://ualib.org) Denver 2020\
cvrepo:talks:ams-joint-mathematics-meetings-special-sessi	Talks	[AMS Joint Mathematics Meetings; Special Session: Algebras and Algorithms](https://www.jointmathematicsmeetings.org//meetings/national/jmm2020/2245_program_ss56.html#title)
cvrepo:talks:computing-difference-term-operations-in-poly	Talks	*Computing Difference Term Operations in Polynomial Time* [(preprint)](https://arxiv.org/abs/2011.07879) Denver 2018\
cvrepo:talks:blast-conference-university-of-denver	Talks	[BLAST Conference, University of Denver](https://www.cs.du.edu/~wesfussn/blast.html)
cvrepo:talks:why-universal-algebra-needs-inductive-depend	Talks	*Why Universal Algebra Needs Inductive, Dependent Types* Eugene 2018\
cvrepo:talks:oregon-programming-languages-summer-school	Talks	Oregon Programming Languages Summer School
cvrepo:talks:a-tutorial-introduction-to-the-lean-prover-b	Talks	*A Tutorial Introduction to the Lean Prover* Boulder 2018\
cvrepo:talks:university-of-colorado-logic-seminar	Talks	University of Colorado Logic Seminar
cvrepo:talks:the-lambda-calculus-and-dependent-type-theor	Talks	*The Lambda Calculus and Dependent Type Theory* Boulder 2018\
cvrepo:talks:university-of-colorado-logic-seminar~2	Talks	University of Colorado Logic Seminar
cvrepo:talks:representing-finite-lattices-as-congruence-l	Talks	*Representing Finite Lattices as Congruence Lattices* Fort Collins 2017\
cvrepo:talks:colorado-state-university-algebra-seminar	Talks	Colorado State University Algebra Seminar
cvrepo:talks:a-polynomial-time-test-for-difference-terms	Talks	[*A Polynomial-time Test for Difference Terms in Idempotent Varieties*](https://gitpitch.com/UniversalAlgebra/term-conditions#/1) [(preprint)](https://arxiv.org/abs/2011.07879) Nashville 2017\
cvrepo:talks:blast-conference-vanderbilt-university	Talks	BLAST Conference, Vanderbilt University
cvrepo:talks:algebraic-approach-to-complexity-of-constrai	Talks	[*Algebraic approach to complexity of constraint satisfaction*](https://github.com/williamdemeo/Talks/blob/master/UH/LogicSeminar/UH-logic-seminar-2016.pdf) [(preprint)](https://arxiv.org/abs/1611.02867) Honolulu 2017\
cvrepo:talks:university-of-hawaii-logic-and-analysis-semi	Talks	University of Hawaii Logic and Analysis Seminar
cvrepo:talks:universal-algebraic-methods-for-constraint-s	Talks	*Universal Algebraic Methods for Constraint Satisfaction Problems* [(preprint)](https://arxiv.org/abs/1611.02867) Denver 2016\
